						
	Median	Median	Median	Median		Average Error
						
	Average Error	Average Error	Average Error	Average Error		
#1022 Valores	0,6923509384	0,6924312906	0,6923511429	0,6923509384		
						
	RMODE11 Error	RMODE10 Error	RMODE01 Error	RMODE00 Error		
	0,000322	0,000393	0,000322	0,000322		
	0,000554	0,000620	0,000554	0,000554		
	0,000775	0,000846	0,000775	0,000775		
	0,001013	0,001079	0,001013	0,001013		
	0,001258	0,001329	0,001258	0,001258		
	0,001496	0,001568	0,001496	0,001496		
	0,001753	0,001818	0,001753	0,001753		
	0,001991	0,002063	0,001991	0,001991		
	0,002253	0,002313	0,002253	0,002253		
	0,002414	0,002486	0,002414	0,002414		
	0,002671	0,002742	0,002671	0,002671		
	0,002927	0,002999	0,002927	0,002927		
	0,003178	0,003243	0,003178	0,003178		
	0,003440	0,003506	0,003440	0,003440		
	0,003548	0,003619	0,003548	0,003548		
	0,003804	0,003870	0,003804	0,003804		
	0,004055	0,004126	0,004055	0,004055		
	0,004311	0,004377	0,004311	0,004311		
	0,004574	0,004645	0,004574	0,004574		
	0,004830	0,004896	0,004830	0,004830		
	0,005105	0,005165	0,005105	0,005105		
	0,005165	0,005231	0,005374	0,005165		
	0,005434	0,005487	0,005434	0,005434		
	0,005679	0,005744	0,005679	0,005679		
	0,005947	0,006013	0,005947	0,005947		
	0,006216	0,006282	0,006216	0,006216		
	0,006485	0,006545	0,006485	0,006485		
	0,006760	0,006820	0,006760	0,006760		
	0,007035	0,007100	0,007035	0,007035		
	0,007035	0,007095	0,007035	0,007035		
	0,007304	0,007370	0,007304	0,007304		
	0,007579	0,007639	0,007579	0,007579		
	0,007855	0,007920	0,007855	0,007855		
	0,008136	0,008196	0,008136	0,008136		
	0,008429	0,008483	0,008429	0,008429		
	0,008710	0,008770	0,008710	0,008710		
	0,008645	0,008699	0,008645	0,008645		
	0,008915	0,008981	0,008915	0,008915		
	0,009202	0,009268	0,009202	0,009202		
	0,009490	0,009556	0,009490	0,009490		
	0,009778	0,009825	0,009778	0,009778		
	0,010071	0,010119	0,010071	0,010071		
	0,010365	0,010419	0,010365	0,010365		
	0,010659	0,010707	0,010659	0,010659		
	0,010529	0,010588	0,010529	0,010529		
	0,010817	0,010876	0,010817	0,010817		
	0,011105	0,011176	0,011105	0,011105		
	0,011405	0,011471	0,011405	0,011405		
	0,011699	0,011771	0,011699	0,011699		
	0,012011	0,012077	0,012011	0,012011		
	0,012336	0,012407	0,012336	0,012336		
	0,012152	0,012236	0,012152	0,012152		
	0,012458	0,012536	0,012458	0,012458		
	0,012753	0,012837	0,012753	0,012753		
	0,013060	0,013132	0,013060	0,013060		
